file,corpus,in_dt_nn,dt_nn_in,nn_in_dt,dt_jj_nn,in_dt_jj,jj_nn_in,nn_in_nn,nns_in_dt,vbn_in_dt,in_jj_nns,nn_in_jj,in_dt_nns,in_jj_nn,jj_nns_in,dt_nn_nn,in_nn_in,nn_in_nns,dt_nn_vbz,nns_in_nn,dt_nns_in,to_vb_dt,vb_dt_nn,nn_cc_nn,dt_jj_nns,md_vb_vbn,nn_nn_in,in_nns_in,vbz_dt_nn,jj_in_dt,nn_md_vb,vb_vbn_in,nns_in_jj,prp_md_vb,jj_nn_nn,nn_to_vb,rb_in_dt,nn_in_nnp,md_rb_vb,in_nn_cc,nn_in_prp,nn_vbz_vbn,to_vb_in,jj_nn_vbz,in_nn_nn,jj_to_vb,in_dt_nnp,cc_dt_nn,in_prp_nn,jj_jj_nn,dt_nn_cc,prp_vbp_rb,prp_vbp_prp,vbp_rb_vb,prp_vbp_vbn,prp_vbz_rb,prp_md_rb,in_prp_vbp,prp_vbd_rb,prp_vbd_prp,uh_prp_vbp,rb_vb_prp,rb_prp_vbp,prp_vbp_vbg,prp_vbp_dt,to_vb_prp,vbg_to_vb,cc_prp_vbp,dt_nn_rb,md_vb_prp,prp_vbd_dt,prp_vbp_in,dt_nn_prp,cc_prp_vbd,nn_prp_vbp,vbd_dt_nn,vb_in_dt,vb_in_prp,vbp_prp_vb,prp_vbz_dt,md_vb_dt,rb_vb_dt,prp_vbd_in,in_prp_vbd,prp_vbd_vbn,vbd_in_dt,dt_nn_vbd,vbd_in_prp,vbd_to_vb,rb_in_prp,vbd_dt_jj,in_nnp_nnp,vbd_prp_nn,vbd_rb_in,nnp_vbd_rb,vbd_vbn_in,prp_nn_in,prp_jj_nn,in_prp_nns,vbg_in_dt,nn_prp_vbd,vb_dt_jj,vbp_to_vb,vbz_rb_jj,vbp_dt_nn,prp_vbz_jj,vbp_in_prp,nn_vbz_rb,nn_vbz_jj,vbz_jj_in,prp_vbp_to,rb_jj_in,nnp_nnp_nnp,dt_nnp_nnp,nnp_nnp_vbd,nnp_in_nnp,nnp_cc_nnp,nnp_nnp_in,nn_in_cd,nns_in_nnp,nn_nnp_nnp,nnp_pos_nn
aca_A6U_001,aca,112,87,78,92,64,62,31,22,32,24,24,28,17,28,11,11,21,17,10,14,14,10,16,15,6,5,14,10,10,9,6,12,5,4,12,17,21,6,11,9,10,4,8,3,2,17,7,10,13,4,1,0,0,2,2,1,1,4,0,0,0,1,0,2,3,0,0,8,0,2,1,4,1,1,3,3,2,0,1,3,5,6,6,5,7,3,2,5,1,7,21,1,2,0,8,4,7,0,5,1,10,1,4,3,0,1,9,1,1,0,3,24,11,3,7,4,7,6,10,5,2
aca_A6U_002,aca,91,81,70,74,42,53,23,16,23,9,19,17,18,15,16,5,3,10,4,14,13,4,4,10,1,7,5,15,4,2,1,8,0,5,5,6,34,0,4,22,14,3,9,1,1,8,4,24,8,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,6,0,1,0,3,0,1,2,4,0,0,5,0,1,4,1,2,7,4,3,5,4,3,20,0,0,0,4,13,17,2,4,0,5,0,2,0,2,0,4,1,0,0,4,7,2,0,6,6,3,2,12,5,25
aca_A6U_003,aca,141,143,112,98,98,55,26,33,25,37,33,18,31,31,16,16,19,11,16,21,12,9,17,17,10,10,15,14,10,4,3,10,5,13,8,12,50,8,13,18,6,8,9,3,0,25,16,26,17,6,1,0,0,0,12,3,0,2,1,0,0,0,0,0,6,0,1,6,1,0,1,6,2,3,4,5,2,0,10,4,2,2,3,7,3,3,2,3,3,3,40,2,1,2,9,13,12,6,6,1,3,7,8,0,5,3,8,4,5,1,10,29,12,3,12,11,12,5,20,3,16
aca_A6U_004,aca,184,195,149,120,117,91,70,35,30,13,38,26,32,21,23,23,20,21,17,24,37,24,15,17,6,14,8,36,16,8,5,4,8,12,19,25,42,15,18,24,6,14,14,3,16,9,22,15,18,9,4,1,2,4,14,5,7,1,0,0,1,2,3,1,7,3,1,12,1,0,1,5,0,0,4,11,3,0,13,3,6,1,1,0,3,2,0,1,1,0,14,3,1,0,0,11,15,7,9,0,13,5,4,2,9,1,16,6,4,2,10,3,4,0,4,13,6,4,7,1,20
aca_A6U_005,aca,91,94,62,77,56,46,44,27,13,16,18,17,16,30,10,11,24,10,27,12,10,9,24,19,8,6,12,13,11,5,2,8,3,7,5,13,15,2,21,10,6,5,7,6,3,5,9,19,4,11,0,0,0,1,3,1,2,1,3,0,1,1,1,2,2,0,0,1,0,3,1,5,0,0,9,2,1,0,3,0,0,5,2,3,9,9,3,4,2,9,13,0,6,2,7,8,5,4,6,4,1,1,2,3,2,0,6,3,3,1,7,5,7,6,5,9,5,2,2,0,17
aca_A6U_006,aca,191,197,180,125,81,103,69,55,35,35,53,52,48,51,32,21,16,28,20,36,18,14,21,25,7,16,8,31,19,5,7,17,5,3,15,21,38,5,22,42,12,10,14,4,3,55,20,34,11,11,3,1,2,5,8,1,5,2,2,0,0,0,0,1,2,5,0,2,2,6,4,6,0,1,13,13,2,0,9,1,2,4,10,0,13,10,2,10,5,9,18,2,4,0,4,31,19,9,8,3,6,2,7,7,7,0,11,12,10,1,12,10,16,1,14,14,11,2,17,2,25
aca_ACJ_007,aca,652,615,435,390,224,274,368,98,122,69,153,113,169,72,109,140,75,95,103,72,121,143,59,53,97,50,49,86,72,131,100,35,37,51,94,53,32,74,48,31,46,59,62,25,73,31,73,27,38,57,3,0,4,3,25,11,11,10,2,0,3,1,2,5,18,9,0,24,3,3,2,4,4,0,43,60,8,1,19,58,30,5,24,15,14,44,3,17,11,7,13,1,3,2,30,14,6,8,29,3,55,5,41,18,20,1,62,32,21,1,27,19,41,5,10,6,6,20,7,0,6
aca_ACJ_008,aca,610,525,404,321,186,300,248,103,115,143,188,122,196,122,66,108,86,143,102,94,113,119,73,57,92,43,60,96,65,104,82,83,43,42,100,51,27,64,45,43,44,73,73,25,51,24,53,33,44,34,5,1,7,7,34,13,15,3,1,0,2,1,0,6,19,11,2,24,6,3,2,3,2,1,18,59,8,0,15,45,20,4,13,8,9,33,4,14,8,5,10,3,0,1,13,16,9,7,21,2,49,13,38,17,28,1,56,39,31,3,27,18,23,4,4,6,4,46,6,2,5
aca_ALP_009,aca,218,159,154,92,57,67,97,28,49,16,26,32,27,23,45,41,23,29,29,14,34,34,21,12,19,42,16,19,19,21,17,7,19,26,27,20,5,11,14,10,13,17,4,27,23,33,14,7,3,24,9,2,6,4,6,8,4,14,7,1,3,2,1,1,16,6,3,6,2,6,3,4,3,3,9,18,1,0,4,6,5,5,10,2,11,17,3,2,3,6,7,2,2,1,10,7,7,1,4,1,14,7,8,4,9,4,12,2,7,2,10,12,30,3,1,5,7,16,2,2,1
aca_ALP_010,aca,147,121,125,77,80,54,51,54,46,81,25,46,7,35,18,24,36,5,15,28,7,14,25,14,19,62,19,5,16,7,19,22,13,0,8,12,8,11,12,34,2,32,2,4,24,2,12,22,1,38,1,0,1,2,0,6,1,21,6,0,2,0,0,1,8,2,0,8,3,10,1,3,12,1,21,14,7,0,3,3,8,5,15,12,12,30,0,14,7,7,3,1,4,0,35,8,4,21,5,4,1,2,0,3,1,0,0,0,1,1,10,6,1,0,3,7,0,21,2,0,3
aca_ALP_011,aca,145,135,111,74,54,51,93,27,25,15,19,51,29,16,44,25,19,17,30,32,10,19,36,16,21,23,7,19,13,27,14,11,12,9,9,15,10,1,17,10,8,9,11,52,6,3,20,15,3,14,2,0,1,4,3,0,1,1,1,0,1,1,0,3,6,1,1,2,0,1,6,1,0,1,6,11,2,4,1,16,3,3,1,0,2,5,1,0,0,1,7,1,2,0,4,11,5,4,5,0,9,2,7,5,2,1,19,5,6,0,5,5,3,2,6,19,6,3,3,0,2
aca_ALP_012,aca,150,141,87,103,53,83,70,45,37,84,92,41,84,50,25,46,70,23,21,20,19,19,33,20,17,46,34,15,20,9,10,39,10,24,16,17,16,9,25,10,13,11,15,16,10,20,12,15,19,13,2,0,1,1,7,2,3,7,0,0,2,0,0,0,3,5,0,6,1,1,1,2,0,1,11,5,5,0,1,11,1,1,4,8,11,15,0,6,1,12,8,0,2,1,34,3,11,5,9,1,11,1,9,7,5,0,9,5,8,1,12,14,6,1,5,13,3,2,3,0,6
aca_AMM_013,aca,889,522,560,642,507,330,180,347,248,300,141,296,128,313,172,97,129,174,93,126,77,50,43,238,96,60,116,57,144,30,79,120,63,95,46,117,23,39,31,57,85,46,65,34,66,172,54,63,69,35,54,2,5,34,27,14,39,18,0,0,2,5,0,29,14,2,22,30,9,9,16,9,5,14,38,49,7,0,16,19,14,14,21,10,47,44,6,21,17,24,28,4,11,3,38,26,66,30,47,4,46,45,50,55,32,2,58,26,28,12,95,14,26,0,25,34,3,33,61,5,1
aca_AMM_014,aca,247,158,143,125,110,69,50,80,57,57,32,106,27,56,45,21,18,44,28,39,25,26,7,49,36,14,15,20,28,13,17,25,28,12,11,27,5,17,5,11,28,21,15,8,29,16,16,11,11,7,7,0,5,4,9,9,9,3,0,0,0,2,0,3,9,1,3,8,1,2,4,6,0,1,4,21,5,0,2,11,1,2,9,6,10,11,0,4,3,4,3,0,1,1,13,2,11,4,17,3,9,13,7,14,19,1,7,2,7,3,12,3,5,0,1,3,2,4,3,1,0
aca_AS6_015,aca,172,170,141,139,119,89,71,60,45,70,96,40,86,53,25,35,21,15,37,37,22,24,36,34,11,25,28,19,24,19,15,40,4,23,19,19,10,15,22,9,13,10,23,21,7,36,21,11,23,9,5,0,3,2,4,3,6,1,1,0,2,0,1,2,5,3,2,1,0,2,0,1,1,0,17,8,1,0,7,6,5,4,4,3,12,12,2,10,4,15,16,3,2,2,13,6,4,3,5,1,6,6,6,3,3,1,8,5,2,0,10,14,25,14,9,11,7,4,1,1,6
aca_AS6_016,aca,225,231,181,125,95,87,62,79,57,68,83,107,60,54,25,33,23,8,30,60,21,19,42,43,11,20,27,4,11,9,12,40,3,9,25,21,29,5,31,13,11,21,9,12,10,35,34,9,19,15,1,0,1,2,2,0,5,7,0,0,0,0,0,3,4,2,0,9,0,11,2,3,5,0,34,13,1,0,2,3,2,4,9,11,25,34,5,12,0,18,26,0,3,2,52,4,4,7,8,4,6,3,2,4,3,1,5,4,1,0,4,22,25,19,4,17,9,18,15,4,17
aca_AS6_017,aca,161,172,149,154,125,125,98,46,44,49,74,45,52,49,25,26,23,15,40,26,15,14,48,30,6,36,20,15,9,6,8,19,10,20,14,10,21,18,31,11,16,7,14,19,8,12,18,11,27,11,4,1,3,4,5,7,1,2,1,0,2,0,1,0,4,3,0,2,4,2,0,1,3,0,13,8,0,1,2,10,7,3,1,4,8,6,0,5,1,7,12,1,2,0,12,4,2,0,13,2,12,0,6,3,3,0,13,7,2,0,8,14,15,5,4,14,8,13,3,1,6
aca_AS6_018,aca,214,239,200,168,145,109,105,81,63,76,91,81,93,57,40,54,45,35,38,44,47,44,53,45,26,14,37,33,20,16,22,46,20,19,34,30,14,10,31,14,22,30,19,19,16,30,34,16,23,23,10,0,2,9,9,3,16,1,1,0,1,1,2,2,9,2,0,8,1,6,5,2,4,1,10,19,4,0,10,11,5,4,3,4,5,8,5,11,8,5,15,2,3,2,24,6,8,7,8,0,13,11,6,3,5,1,17,8,1,4,11,16,25,7,3,7,7,6,8,3,14
aca_B17_019,aca,76,74,38,65,35,36,64,34,14,38,25,22,22,31,7,16,15,14,26,15,16,15,29,13,11,2,13,9,12,12,12,13,23,3,10,1,3,8,25,4,5,13,8,2,15,3,4,1,4,17,4,1,4,5,7,5,10,0,0,0,2,0,0,1,2,1,0,0,1,0,4,3,0,3,0,10,3,1,2,7,4,0,0,0,0,1,0,1,1,2,0,0,0,0,0,3,3,1,1,0,6,2,5,6,12,1,16,5,4,0,4,3,1,0,0,0,0,0,0,0,0
aca_B17_020,aca,379,366,238,285,192,194,215,97,101,151,137,128,131,112,57,88,84,55,115,92,70,58,127,50,35,39,63,63,52,42,38,76,66,29,40,46,30,39,60,39,51,54,52,44,80,19,27,36,21,44,19,2,19,21,30,9,33,6,0,0,9,3,7,6,17,9,3,8,5,10,14,9,1,8,11,40,7,2,16,32,12,15,14,6,20,17,7,11,5,20,19,0,3,5,19,19,8,21,17,4,37,25,23,25,19,4,45,25,19,6,25,11,13,5,8,14,9,12,9,1,18
aca_B17_021,aca,365,314,209,223,159,154,143,113,83,123,105,111,85,93,47,57,72,45,81,56,48,41,62,41,34,63,58,35,32,23,45,48,46,19,34,31,17,36,41,44,27,43,29,39,45,16,27,29,20,32,14,1,9,17,17,6,31,9,2,0,5,8,7,12,15,1,9,15,5,5,8,12,4,4,13,35,9,5,5,23,8,10,10,9,15,21,2,6,8,7,4,1,4,1,7,11,8,11,24,2,20,26,19,15,20,4,26,16,16,11,18,6,10,1,0,5,1,24,11,0,15
aca_B1G_022,aca,528,396,350,349,225,199,173,135,135,94,121,74,119,101,191,53,74,74,94,78,98,99,72,55,57,110,39,48,64,46,47,52,27,103,52,32,32,37,27,6,50,23,44,94,36,50,27,10,38,29,2,1,1,4,18,6,7,0,0,0,1,0,3,3,6,5,0,8,1,4,4,6,0,3,20,36,3,0,5,28,20,3,1,3,11,13,2,7,2,9,13,1,2,0,24,3,8,0,13,3,35,7,34,15,17,1,39,20,15,0,19,27,22,0,9,39,6,26,15,4,4
aca_B1G_023,aca,562,485,425,395,269,268,225,191,142,228,249,124,219,179,132,126,97,64,135,122,78,77,144,81,67,113,94,59,82,58,70,132,41,141,62,56,52,28,64,25,57,36,53,113,45,162,43,15,72,58,10,2,4,4,18,7,17,0,0,0,1,2,2,11,9,4,2,14,2,4,8,10,0,5,15,28,1,1,3,26,7,3,2,1,13,17,1,5,3,8,41,0,4,1,19,18,13,7,28,2,37,19,29,22,15,1,31,23,11,10,40,99,99,6,34,83,35,25,23,4,16
aca_B2K_024,aca,142,79,103,114,90,58,34,41,55,26,18,48,7,33,53,4,8,27,11,23,18,17,9,31,35,43,6,16,16,18,35,7,15,30,6,15,15,19,1,4,21,7,6,23,11,21,7,1,22,4,8,0,6,3,17,9,5,0,0,0,1,0,0,1,1,0,7,1,0,1,2,3,0,0,1,14,1,0,3,13,9,0,1,1,0,2,0,1,0,0,0,0,0,0,3,0,1,0,5,0,11,1,17,5,10,0,18,10,8,0,11,0,7,0,0,29,0,2,6,0,2
aca_B2K_025,aca,24,22,13,25,11,13,14,12,10,3,2,9,0,10,11,0,5,7,3,8,10,7,2,5,9,8,2,7,5,1,10,0,9,4,2,1,1,7,1,1,2,0,2,8,5,5,2,1,4,0,0,0,1,1,4,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,0,3,1,3,0,1,4,7,0,4,0,1,0,1,2,1,1,1,0,0
aca_B2K_026,aca,185,98,95,128,81,56,21,81,65,37,17,56,6,55,62,7,33,26,26,37,36,22,24,45,64,33,19,26,27,16,75,12,26,26,8,10,10,48,8,1,14,9,9,27,20,21,7,0,6,10,3,0,2,2,15,18,1,0,0,0,0,0,1,2,0,3,0,4,0,1,1,3,0,2,0,12,0,0,3,4,7,1,0,1,1,3,0,2,0,1,0,0,1,0,1,0,0,0,2,1,20,0,11,9,19,0,11,12,13,0,10,0,2,0,1,20,1,2,5,0,1
aca_B2K_027,aca,29,24,17,20,17,7,2,16,15,5,5,15,1,12,6,0,3,3,1,2,8,2,6,19,20,3,5,6,5,2,17,0,7,5,0,1,7,6,1,1,1,3,0,2,10,7,0,1,4,3,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,5,3,5,0,3,1,1,0,1,1,0,0,1,9,1,0,1,0,3
aca_B2K_028,aca,89,53,46,88,61,24,6,38,42,15,7,22,4,32,23,2,11,24,8,16,15,9,12,38,47,14,13,16,16,9,39,6,15,13,7,9,13,22,4,0,19,3,13,3,10,19,4,0,7,5,0,0,0,1,9,9,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,2,0,0,5,2,0,0,1,2,6,1,1,1,1,1,1,0,0,0,2,1,1,0,3,0,0,0,3,1,9,1,6,2,8,0,7,6,11,0,4,1,1,0,0,20,0,2,10,0,13
aca_B2K_029,aca,103,56,68,76,50,35,11,32,43,7,9,16,6,17,34,4,8,26,2,12,17,9,10,19,32,13,5,15,9,13,35,5,18,13,4,10,10,27,2,1,13,3,4,6,12,38,6,0,10,5,1,0,0,5,9,11,1,0,0,0,0,0,0,3,0,0,1,3,0,0,0,2,1,0,0,5,0,0,1,3,1,0,0,2,2,2,0,1,0,1,1,0,0,1,5,0,1,0,0,0,4,0,11,4,6,0,11,4,5,0,3,2,5,0,0,26,0,1,1,1,1
aca_B2K_030,aca,63,32,36,42,28,21,8,15,16,6,8,13,3,6,12,3,5,6,2,5,14,7,3,10,11,8,7,9,3,3,9,1,2,4,2,2,5,3,2,1,7,5,4,1,13,4,0,2,4,2,0,0,0,3,7,2,0,1,0,0,0,0,0,1,1,2,0,2,0,0,0,3,0,0,0,7,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,1,4,1,4,0,4,1,0,0,1,0,0,0,0,11,0,2,3,0,3
aca_B2K_031,aca,83,38,55,46,37,23,8,28,25,2,1,21,3,12,29,2,3,13,4,12,9,3,2,11,21,8,4,8,12,5,27,2,8,7,1,9,3,11,0,2,8,0,2,6,3,19,4,0,3,1,1,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,7,2,3,0,10,5,3,0,4,1,3,0,0,16,0,3,1,0,0
aca_CLP_032,aca,679,514,407,441,280,231,240,135,134,146,105,110,109,113,159,91,128,165,81,75,91,86,120,80,99,68,76,77,79,121,73,52,65,80,55,83,10,63,74,24,78,72,64,69,81,8,74,21,39,95,5,0,5,4,41,14,9,3,0,0,2,3,2,5,18,5,3,27,17,0,1,16,1,1,4,57,8,0,14,49,20,1,3,1,4,12,1,4,12,2,6,1,3,0,9,16,20,14,40,2,53,18,54,18,44,0,85,30,20,4,50,4,4,2,1,16,2,20,3,1,1
aca_CLP_033,aca,590,464,367,435,271,241,230,116,96,155,103,93,110,117,120,98,122,143,98,65,87,110,128,55,76,36,90,79,76,116,68,51,57,62,58,57,6,67,72,35,66,61,70,52,49,10,50,22,26,82,9,1,10,6,37,18,15,3,1,0,11,3,1,11,17,18,3,29,7,1,5,17,0,6,12,56,13,0,10,48,19,3,7,1,10,6,0,8,20,4,3,1,1,0,7,20,19,18,32,4,37,15,52,13,27,2,83,35,39,4,53,5,7,0,1,22,2,12,2,0,3
aca_CLW_034,aca,368,346,260,247,190,188,174,114,82,114,111,123,101,116,77,74,119,39,106,62,59,47,67,74,49,49,62,25,37,34,34,58,32,27,48,45,24,24,50,44,33,61,36,52,44,25,37,39,29,33,10,5,4,10,10,4,20,6,2,0,0,0,2,5,21,6,1,18,3,3,11,7,0,6,20,36,10,1,8,16,10,5,9,2,11,15,2,12,12,18,22,0,4,2,19,25,16,32,31,3,35,31,11,14,15,1,31,10,8,7,23,22,15,5,7,19,8,9,13,0,6
aca_CLW_035,aca,463,518,356,383,312,323,264,172,133,352,302,149,192,238,50,131,141,36,148,109,59,50,151,108,46,106,94,59,61,18,54,150,27,65,42,64,55,29,105,35,40,77,49,63,56,48,49,35,74,39,8,2,0,10,22,10,18,7,3,0,3,0,1,5,12,8,1,9,1,2,6,9,2,7,13,51,4,3,14,17,7,9,9,6,12,15,3,18,8,23,18,3,4,3,21,29,20,23,14,2,35,36,23,18,38,5,24,18,19,4,49,19,28,1,9,60,11,16,22,1,10
aca_CMA_036,aca,152,117,106,155,138,112,48,43,39,65,79,48,73,62,25,19,30,10,34,36,13,8,39,32,11,24,19,9,21,12,13,36,15,20,10,25,26,19,19,25,7,11,18,6,2,5,13,29,34,16,3,1,1,1,7,4,3,16,4,0,1,0,0,2,9,0,1,3,1,3,1,5,4,0,3,8,2,0,5,6,4,3,13,14,8,7,3,10,5,12,14,0,6,1,9,18,19,2,19,2,8,0,5,1,5,0,6,5,6,0,16,5,1,0,0,6,2,12,10,4,27
aca_CMA_037,aca,221,189,133,102,78,91,57,72,36,68,60,46,62,73,18,40,56,11,35,34,24,15,23,23,25,22,43,12,24,16,17,30,17,11,19,15,22,9,19,10,10,16,11,18,20,8,12,17,12,13,1,0,1,6,5,2,8,6,1,0,0,0,2,3,3,2,1,3,1,4,4,2,2,0,10,14,0,0,4,7,1,3,8,6,9,13,2,5,3,9,10,1,3,2,19,6,3,4,5,1,9,3,5,5,10,3,9,4,7,1,12,6,5,2,8,16,3,12,22,0,3
aca_CMA_038,aca,104,115,112,125,98,94,73,41,31,68,62,26,51,52,22,39,28,5,40,15,15,11,22,17,22,26,28,7,16,12,7,34,6,21,10,13,3,11,22,4,12,9,15,20,5,31,4,5,21,3,2,0,1,3,7,2,3,0,0,0,1,0,0,1,4,0,0,1,1,2,1,0,0,0,5,10,1,0,1,4,1,0,1,0,1,3,0,3,1,1,0,0,2,2,7,1,5,1,6,0,7,10,6,4,1,0,6,1,3,1,13,0,7,2,0,18,0,5,4,2,2
aca_CMA_039,aca,113,119,62,70,37,101,82,46,17,78,100,34,116,53,14,54,89,9,52,27,21,16,19,20,13,23,49,16,17,25,9,50,8,13,12,6,7,19,18,4,3,11,24,38,27,1,11,8,15,5,0,0,2,0,7,2,6,2,1,0,0,0,0,2,2,0,0,2,3,3,3,0,1,0,9,11,1,0,3,7,5,2,6,1,1,1,0,2,3,3,5,1,1,2,6,7,2,3,3,0,18,6,11,1,5,3,14,9,5,2,7,1,1,3,1,24,0,2,1,1,6
aca_CMA_040,aca,206,180,120,151,121,86,71,46,69,83,55,51,53,51,26,26,25,42,30,50,31,42,15,36,38,15,29,15,27,33,38,30,42,9,21,21,2,25,18,10,31,22,34,10,31,2,16,9,15,16,16,3,6,8,7,10,15,5,0,0,0,1,1,10,3,5,2,4,5,7,4,8,3,6,9,24,1,0,3,16,13,3,4,6,11,9,2,5,6,9,4,1,2,1,13,4,5,5,10,2,14,8,14,8,13,1,25,11,10,4,17,1,2,1,0,15,1,11,6,0,0
aca_CMA_041,aca,71,71,57,72,57,58,35,21,16,24,37,15,38,20,9,6,15,18,16,9,12,11,15,26,7,11,8,9,9,7,4,12,5,6,14,8,1,9,10,5,12,12,14,5,8,0,5,4,13,4,3,0,0,6,4,3,3,0,0,0,0,0,0,1,1,1,4,1,0,0,5,4,0,2,1,6,1,0,3,6,1,0,1,0,0,1,1,2,0,2,1,0,0,0,4,1,1,2,3,0,6,4,8,5,1,0,10,2,1,1,5,1,0,1,1,3,0,6,1,0,1
aca_CMA_042,aca,139,121,84,125,82,64,41,29,31,48,35,21,42,35,13,15,16,18,19,16,24,26,11,19,17,3,17,24,19,17,17,20,19,4,10,18,5,30,19,12,8,16,13,2,12,1,3,3,12,2,6,1,4,5,18,11,6,2,1,0,3,0,0,1,4,4,2,8,3,1,0,2,1,0,5,18,3,0,12,12,13,1,1,0,4,2,0,0,6,1,4,0,1,1,2,0,1,1,3,0,21,6,6,1,5,0,6,6,6,3,8,2,1,0,0,1,1,0,0,0,2
aca_CRS_043,aca,170,114,114,87,78,60,53,65,47,70,38,50,34,52,32,41,46,9,28,23,42,35,45,38,14,34,65,5,20,11,14,50,5,22,31,11,10,6,14,8,5,22,8,21,20,29,17,11,11,23,1,0,2,1,5,1,3,5,1,0,2,0,0,0,8,2,1,2,0,5,1,6,3,1,20,16,6,0,0,5,6,4,6,6,21,38,5,25,2,9,8,1,3,1,28,2,5,3,2,5,14,4,4,2,1,0,4,2,3,0,12,20,30,11,6,6,10,15,7,2,1
aca_CRS_044,aca,356,298,225,204,139,149,160,89,63,121,100,77,108,109,88,69,80,30,73,56,63,47,90,57,29,50,59,35,41,35,22,71,27,40,44,34,13,26,47,48,25,48,18,41,39,24,25,57,17,35,17,3,11,11,18,5,19,20,8,0,13,2,6,11,29,19,7,9,5,11,8,8,5,4,11,31,6,0,20,15,12,16,20,15,16,14,14,20,11,10,9,1,7,1,18,34,25,19,17,3,22,19,20,14,14,2,17,20,7,4,22,13,29,0,8,41,5,10,7,7,12
aca_CRS_045,aca,543,369,302,273,185,149,124,99,99,65,65,113,64,56,84,66,68,31,49,59,75,87,46,38,43,31,54,33,38,37,32,24,100,35,54,47,55,61,39,95,16,93,11,9,43,19,37,99,20,47,42,32,13,28,28,40,30,105,49,1,16,9,7,18,56,36,20,22,14,57,20,50,51,14,69,43,52,2,14,35,18,86,115,72,60,98,64,75,35,28,31,14,19,22,55,48,44,46,29,56,29,15,9,16,20,8,12,7,10,7,30,12,10,59,5,29,15,11,8,17,32
aca_CTY_046,aca,291,348,253,190,202,154,179,54,57,22,61,59,66,39,16,58,16,25,40,54,41,30,52,27,21,12,12,58,36,17,21,20,15,12,24,31,36,31,52,38,18,14,18,13,12,28,25,21,30,16,3,0,1,3,20,10,6,2,2,0,3,4,1,5,13,4,0,12,1,2,2,4,3,2,5,11,4,0,25,6,13,3,3,0,8,4,4,7,4,5,13,1,2,4,9,18,17,9,12,0,29,3,8,5,12,1,28,4,8,1,10,4,12,2,5,11,5,4,12,1,21
aca_CTY_047,aca,113,123,91,87,68,59,66,15,19,8,27,7,20,12,6,21,8,9,9,8,10,10,17,12,10,6,10,16,10,18,9,6,3,4,9,13,20,8,13,17,4,10,5,4,7,12,7,14,5,4,2,0,0,0,4,1,1,1,1,0,1,0,0,0,5,1,0,3,2,0,0,4,0,1,7,7,2,0,5,5,1,3,1,2,5,5,1,6,1,4,7,0,2,2,2,14,12,1,5,3,5,0,1,1,3,0,8,1,2,0,3,0,4,1,3,3,3,0,2,0,11
aca_CTY_048,aca,323,305,250,250,194,165,166,35,47,42,56,38,57,35,34,61,18,35,37,39,38,33,32,23,14,18,12,49,33,20,21,15,19,7,27,33,50,32,36,55,10,24,22,10,15,15,19,34,27,13,5,0,3,7,23,15,10,12,4,0,6,6,3,5,20,7,1,7,3,6,5,11,3,0,10,20,6,0,10,11,7,7,17,6,13,8,5,18,14,10,5,1,3,1,9,19,26,6,12,5,21,5,14,4,13,3,29,7,12,2,13,3,5,2,1,7,2,9,9,0,48
aca_CTY_049,aca,348,373,274,238,224,162,187,59,60,42,71,50,50,62,17,71,22,39,50,44,44,35,30,51,24,13,19,58,31,26,35,18,20,9,28,33,47,46,28,38,21,30,30,5,17,12,23,32,30,21,4,1,4,4,20,13,7,6,2,0,6,2,1,1,14,3,0,8,3,6,2,5,1,1,14,25,8,0,12,12,11,4,7,2,9,6,2,16,11,9,13,2,1,6,5,16,30,7,15,5,25,6,16,3,4,2,27,11,5,5,15,1,7,2,5,15,4,6,9,2,38
aca_CTY_050,aca,332,395,239,223,202,147,205,67,50,71,86,37,48,77,13,80,43,34,69,47,54,47,63,49,33,10,22,65,30,30,25,19,22,10,29,33,34,32,42,58,12,18,23,8,22,10,29,45,30,18,1,4,2,10,21,14,13,6,3,0,1,2,0,6,23,5,0,12,2,2,1,7,2,2,11,21,7,2,31,11,11,6,12,2,8,2,4,10,11,6,7,1,1,1,7,24,33,10,20,5,24,8,15,5,10,1,33,7,7,2,19,1,1,0,4,8,2,1,14,0,44
