file,corpus,in_dt_nn,dt_nn_in,nn_in_dt,dt_jj_nn,in_dt_jj,jj_nn_in,nn_in_nn,nns_in_dt,vbn_in_dt,in_jj_nns,nn_in_jj,in_dt_nns,in_jj_nn,jj_nns_in,dt_nn_nn,in_nn_in,nn_in_nns,dt_nn_vbz,nns_in_nn,dt_nns_in,to_vb_dt,vb_dt_nn,nn_cc_nn,dt_jj_nns,md_vb_vbn,nn_nn_in,in_nns_in,vbz_dt_nn,jj_in_dt,nn_md_vb,vb_vbn_in,nns_in_jj,prp_md_vb,jj_nn_nn,nn_to_vb,rb_in_dt,nn_in_nnp,md_rb_vb,in_nn_cc,nn_in_prp,nn_vbz_vbn,to_vb_in,jj_nn_vbz,in_nn_nn,jj_to_vb,in_dt_nnp,cc_dt_nn,in_prp_nn,jj_jj_nn,dt_nn_cc,prp_vbp_rb,prp_vbp_prp,vbp_rb_vb,prp_vbp_vbn,prp_vbz_rb,prp_md_rb,in_prp_vbp,prp_vbd_rb,prp_vbd_prp,uh_prp_vbp,rb_vb_prp,rb_prp_vbp,prp_vbp_vbg,prp_vbp_dt,to_vb_prp,vbg_to_vb,cc_prp_vbp,dt_nn_rb,md_vb_prp,prp_vbd_dt,prp_vbp_in,dt_nn_prp,cc_prp_vbd,nn_prp_vbp,vbd_dt_nn,vb_in_dt,vb_in_prp,vbp_prp_vb,prp_vbz_dt,md_vb_dt,rb_vb_dt,prp_vbd_in,in_prp_vbd,prp_vbd_vbn,vbd_in_dt,dt_nn_vbd,vbd_in_prp,vbd_to_vb,rb_in_prp,vbd_dt_jj,in_nnp_nnp,vbd_prp_nn,vbd_rb_in,nnp_vbd_rb,vbd_vbn_in,prp_nn_in,prp_jj_nn,in_prp_nns,vbg_in_dt,nn_prp_vbd,vb_dt_jj,vbp_to_vb,vbz_rb_jj,vbp_dt_nn,prp_vbz_jj,vbp_in_prp,nn_vbz_rb,nn_vbz_jj,vbz_jj_in,prp_vbp_to,rb_jj_in,nnp_nnp_nnp,dt_nnp_nnp,nnp_nnp_vbd,nnp_in_nnp,nnp_cc_nnp,nnp_nnp_in,nn_in_cd,nns_in_nnp,nn_nnp_nnp,nnp_pos_nn
hoc_CX,hoc,174,112,99,123,66,47,54,18,24,14,16,26,16,6,20,20,9,37,10,14,25,36,17,14,44,12,7,18,18,27,19,5,38,8,41,31,8,41,19,29,20,19,8,2,20,5,10,34,5,15,24,7,10,15,15,20,19,19,5,0,8,7,1,17,38,6,7,11,3,12,16,6,5,4,15,16,4,2,5,13,14,6,21,5,9,17,4,9,7,11,15,3,3,3,9,12,15,4,6,3,10,15,9,16,11,6,11,5,5,6,11,0,1,12,0,1,2,1,3,2,7
hoc_CY,hoc,45,37,24,31,14,16,14,9,6,6,3,11,6,8,6,6,9,2,1,4,8,20,8,9,8,5,8,5,3,5,5,2,20,3,9,6,4,22,1,17,2,7,3,3,3,6,4,7,2,11,15,6,11,3,11,15,14,3,2,0,7,3,2,4,11,4,7,2,4,4,4,5,3,3,4,5,2,0,3,5,11,2,6,1,2,1,0,2,4,2,1,0,0,1,2,3,3,7,4,3,7,7,4,4,3,3,1,1,2,2,4,0,0,0,1,3,1,2,2,0,3
hoc_CZ,hoc,50,30,33,41,23,19,14,19,14,13,7,19,8,11,16,3,9,11,7,7,8,5,4,12,11,7,4,8,2,14,9,4,9,7,12,6,2,6,3,8,6,7,9,3,7,10,4,3,5,6,11,0,6,4,1,0,11,0,0,0,2,1,2,3,5,6,2,2,3,0,6,1,0,1,0,8,2,0,1,10,2,0,0,0,0,1,1,0,0,0,1,0,0,0,3,3,6,3,2,0,8,7,3,3,4,1,2,4,1,4,2,1,6,0,1,0,0,0,0,0,1
hoc_DA,hoc,72,50,32,68,46,35,42,18,13,9,6,14,14,12,15,14,6,20,9,8,19,18,8,7,11,7,4,15,10,23,12,4,16,12,20,21,4,17,5,20,4,13,10,7,5,6,6,9,5,5,7,2,2,4,10,5,7,0,2,0,2,2,0,5,5,6,3,5,4,0,11,4,0,3,1,12,4,1,5,6,6,1,2,1,1,3,0,0,5,2,5,0,0,1,2,0,13,7,3,0,6,7,7,3,3,3,12,5,4,2,3,1,2,1,1,0,1,1,3,0,1
hoc_DB,hoc,113,93,89,105,65,52,35,38,14,21,17,21,13,26,16,16,12,7,9,21,44,24,14,15,17,11,10,13,15,20,10,11,42,14,26,15,36,19,10,21,6,33,12,5,20,67,9,18,12,17,14,5,8,3,14,10,13,7,1,0,11,6,2,7,13,14,5,6,9,7,10,7,1,1,6,23,17,3,8,19,4,3,12,2,5,1,2,12,11,5,32,1,0,1,6,8,10,11,9,5,22,8,10,7,8,8,9,4,6,6,13,16,35,7,7,11,10,2,14,4,34
hoc_DC,hoc,77,58,48,64,42,30,17,21,15,19,15,28,6,22,13,17,9,19,9,18,16,32,11,18,14,3,7,16,12,16,13,7,22,6,29,15,16,36,6,14,5,16,10,4,3,21,6,10,4,11,10,0,10,8,6,10,9,1,2,0,4,1,3,4,15,11,3,6,10,1,3,3,0,3,1,12,6,2,3,18,16,2,3,1,1,2,2,5,5,2,4,0,1,0,0,5,11,9,7,0,13,4,8,2,4,1,11,4,1,2,8,1,3,1,2,3,0,1,21,0,8
hoc_DD,hoc,127,133,110,129,109,58,35,41,32,34,31,34,21,30,18,25,11,14,10,30,50,69,17,54,38,20,10,21,19,39,29,15,31,10,41,25,53,33,10,26,11,28,13,2,19,46,12,16,25,11,30,6,14,11,11,9,25,1,1,0,6,8,6,14,21,9,7,11,8,1,11,5,1,5,5,22,12,1,8,41,20,4,7,1,1,0,3,9,9,5,8,0,2,2,4,10,16,11,8,1,38,10,13,10,14,2,10,2,5,5,10,5,29,3,1,12,4,6,23,5,2
hoc_DE,hoc,86,73,56,66,42,30,46,20,16,23,29,23,25,12,26,22,10,18,14,11,19,24,16,22,5,16,9,14,16,6,5,8,27,20,17,16,8,16,9,10,13,27,17,17,16,25,8,11,11,9,33,14,18,10,11,7,23,6,1,1,8,11,6,20,5,7,12,4,1,6,18,3,1,7,8,21,6,1,3,7,13,5,5,4,0,2,1,9,6,1,7,2,0,0,5,8,4,6,9,4,12,18,10,13,9,5,12,10,2,8,11,2,6,0,2,6,2,5,8,0,5
hoc_DF,hoc,23,18,15,9,15,4,7,7,5,4,4,2,2,5,7,9,4,4,2,6,4,5,2,11,2,4,2,2,2,1,1,0,4,0,2,2,11,8,0,1,1,2,1,2,4,4,0,1,2,0,2,0,0,1,0,4,0,2,0,0,3,1,1,2,2,1,1,3,0,0,0,1,0,3,1,3,1,0,1,3,3,1,0,0,0,0,0,1,1,0,1,0,2,0,0,3,0,0,1,0,0,3,2,2,4,0,3,1,3,1,1,1,2,0,1,2,1,0,5,0,2
hoc_DG,hoc,31,24,25,24,12,12,15,6,2,3,4,16,4,5,6,9,3,6,6,5,5,11,6,2,9,5,2,9,6,6,3,1,11,4,6,3,2,4,3,7,5,6,3,1,10,1,3,6,1,5,3,2,0,2,6,2,4,0,0,0,4,2,1,4,5,4,1,5,1,2,6,1,1,5,2,1,5,0,4,6,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,2,1,2,2,3,3,6,8,3,7,2,10,5,1,3,3,0,0,1,0,0,0,0,0,0,1
