topic_id,headline,material,type
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02N,Chin jobs' head cosmetic-surgery list in US,supported,news
12A-02O,Chin jobs' head cosmetic-surgery list in US,unsupported,news
12A-02O,Chin jobs' head cosmetic-surgery list in US,unsupported,news
12A-02O,Chin jobs' head cosmetic-surgery list in US,unsupported,news
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
12A-03N,Vocabulary Notebooks,supported,class
